name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Eagle Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"1.0 miles, roundtrip",50,90,0.00,Wildlife|Good for kids|Dogs allowed on leash|Rivers,"The Eagle Trail is a grassy urban course on the Stillaguamish River dike from Haller Park to the Dike Road in the City of Arlington. Opened in 2011, it provides an opportunity for nature and wildlife viewing while wandering green space within the city limits and a designated area for dogs to romp and play.",roundtrip,1,Puget Sound and Islands
Cow Heaven,North Cascades -- North Cascades Highway - Hwy 20,"9.6 miles, roundtrip",4040,4460,3.71,Wildflowers/Meadows|Ridges/passes|Dogs allowed on leash|Established campsites|Mountain views|Old growth|Waterfalls,"With a trailhead accessible year round, Cow Heaven and views of the Skagit and Sauk River Valleys along with the majestic North Cascades are a promising paradise despite the challenge of a zigzag ascent spent mostly within the shelter of the forest.",roundtrip,9.6,North Cascades
Cora Lake,Mount Rainier Area -- SW - Longmire/Paradise,"6.0 miles, roundtrip",400,3800,4.11,Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Good for kids|Lakes|Fall foliage|Rivers,Enjoy this easy hike through massive trees with great views of a lovely lake and an impressive lookout towering over it all.,roundtrip,6,Mount Rainier Area
Jumpoff Joe Lookout,Central Washington -- Yakima,"10.0 miles, roundtrip",2531,5749,4.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits|Ridges/passes,"Hiking to Jumpoff Lookout may not be for everybody, but if you make the trek, it has a lot to offer. From a family-friendly lake to a more challenging climb to a fire lookout.",roundtrip,10,Central Washington
Pine Creek,South Cascades -- Mount St. Helens,"2.5 miles, roundtrip",170,3130,4.20,Mountain views|Good for kids,"Nestled in the southeast corner of Mount St Helens, the Pine Creek Trail offers a short, easy graded path into second growth forest at the base of the active stratovolcano. You can visit a historic wood-shingled shelter built in the 1920s and continue on to a viewpoint along the Muddy River Lahar moonscape.",roundtrip,2.5,South Cascades
Lost Lake,South Cascades -- Goat Rocks,"16.2 miles, roundtrip",2400,5200,0.00,Dogs allowed on leash|Lakes|Established campsites,"Accessible from both Packwood Lake and the Clear Fork trailhead, Lost Lake is a medium-sized, scenic little mountain lake ringed with trees and nestled in a small bowl below the former Lost Lake lookout site, a good spot for overnighting or taking a long day hike.",roundtrip,16.2,South Cascades
Margaret Lake,Snoqualmie Region -- Snoqualmie Pass,"6.0 miles, roundtrip",1500,5100,3.34,Mountain views|Dogs allowed on leash|Lakes|Ridges/passes,"Logging paid for most of the trails in the Cascades, so sometimes hikers must expect to hike the terrain that provided that rich stock of timber. This trail starts on an old logging road, leads through old clearcuts—now nicely regrown as lush berry meadows and forest stands—and enters lush old second-growth forest. It’s a great way to experience both the natural and human history of the area, while enjoying some remarkable wild country around a pristine alpine lake.",roundtrip,6,Snoqualmie Region
Mission Peak,Central Washington -- Wenatchee,"4.0 miles, roundtrip",840,6876,3.50,Mountain views|Summits|Good for kids,"When road conditions allow, take a short hike up Mission Peak for expansive views west into the Cascades and east to Wenatchee and beyond.",roundtrip,4,Central Washington
Heybrook Lookout,Central Cascades -- Stevens Pass - West,"2.6 miles, roundtrip",850,1700,3.61,Mountain views|Dogs allowed on leash|Good for kids,"Heybrook Lookout is a short and moderately steep hike through a fern and moss covered forest to a fun, staircase-ridden lookout with great views of the nearby mountains. If you are introducing someone to hiking, limited on time, or trying to add on another hike or activity in the area, this is the hike for you.",roundtrip,2.6,Central Cascades
Cap Sante Park,Puget Sound and Islands -- Bellingham Area,"3.2 miles, roundtrip",490,220,3.00,Wildflowers/Meadows|Mountain views|Wildlife|Summits|Good for kids|Dogs allowed on leash|Fall foliage|Coast,"Explore roads and trails on, and around, Cap Sante, an impressive rocky headland at the northeast corner of Anacortes. Enjoy views extending from Mount Baker to Mount Rainier, plus the busy harbor.",roundtrip,3.2,Puget Sound and Islands
Cap Sante Park,Puget Sound and Islands -- Bellingham Area,"3.2 miles, roundtrip",490,220,3.00,Wildflowers/Meadows|Mountain views|Wildlife|Summits|Good for kids|Dogs allowed on leash|Fall foliage|Coast,"Explore roads and trails on, and around, Cap Sante, an impressive rocky headland at the northeast corner of Anacortes. Enjoy views extending from Mount Baker to Mount Rainier, plus the busy harbor.",roundtrip,3.2,Puget Sound and Islands
West Fork Foss River and Lakes,Central Cascades -- Stevens Pass - West,"14.6 miles, roundtrip",3300,4900,4.21,Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Lakes|Rivers,"Visit any of several beautiful alpine lakes, in rocky basins. The day can be as easy as a 3.6 roundtrip hike to Trout Lake, or as strenuous as the nearly 15-mile hike to Big Heart Lake as you like. Good options exist both for day-hikers and for backpackers.",roundtrip,14.6,Central Cascades
Barclay Lake,Central Cascades -- Stevens Pass - West,"4.4 miles, roundtrip",500,2423,3.92,Wildflowers/Meadows|Mountain views|Established campsites|Old growth|Good for kids|Lakes|Fall foliage|Rivers,"Barclay Lake offers something for almost everyone: a well-maintained trail that is accessible to beginners and children, stunning mountain views, mycology, camping, a serene alpine lake, and a staging area for challenging adventures in the 106,000-acre Wild Sky Wilderness. Keep your camera charged, as this popular pathway in the shadow of Baring Mountain offers many photo opportunities.",roundtrip,4.4,Central Cascades
Lodge Lake,Snoqualmie Region -- Snoqualmie Pass,"3.0 miles, roundtrip",500,3500,3.55,Dogs allowed on leash|Good for kids|Lakes,"Snoqualmie Pass grows ever more developed each year. Condos go up left and right, the ski area plans new ski lifts (or replacements for existing chairs), and hotels pop up east and west. But even with the development, these are still mountains and there is still stunning mountain scenery to enjoy, even on the fringes of the developed areas. Lodge Lake stands as proof.",roundtrip,3,Snoqualmie Region
Glacier Lake,South Cascades -- Goat Rocks,"6.0 miles, roundtrip",1634,2905,2.67,Lakes|Rivers,"A short, but somewhat challenging hike to a quiet mountain lake.",roundtrip,6,South Cascades
Tolmie Peak Lookout - Eunice Lake,Mount Rainier Area -- NW - Carbon River/Mowich,"7.5 miles, roundtrip",1100,5900,4.53,Wildflowers/Meadows|Mountain views|Ridges/passes|Dogs not allowed|Summits|Good for kids|Lakes,"Hike to an old fire lookout with in-your-face views of Mount Rainier and a sapphire blue lake below. Tolmie Peak and Eunice Lake pack a one-two punch when it comes to scenery, but stopping at the picturesque lake is a perfectly acceptable destination as well.",roundtrip,7.5,Mount Rainier Area
Talus Loop,Snoqualmie Region -- North Bend Area,"6.0 miles, roundtrip",1400,2100,3.50,Mountain views|Old growth|Dogs allowed on leash|Rivers,"Get a different view of the perennially-popular Mount Si on the Talus Loop Trail. Just under 4 miles long, the Talus Trail explores the eastern slopes of the mountain. You'll hike briefly with the crowds headed to the haystack, then peel off and enjoy a much quieter forest walk, along with a good workout.",roundtrip,6,Snoqualmie Region
Pearrygin Creek,North Cascades -- Methow/Sawtooth,"7.4 miles, roundtrip",2060,6644,3.00,Mountain views|Dogs allowed on leash|Summits,"Looking for a challenge in route finding, with the payoff of partially obscured views? Then this trail is for you. What was once a popular non-motorized, multi-use trail was overrun by the 2006 Tripod Fire and the 2014 Carleton Complex Fire. Since the fires, a lack of maintenance and road washouts make access, route finding, and travel difficult.",roundtrip,7.4,North Cascades
Little Mashel Falls - Pack Forest,Puget Sound and Islands -- Seattle-Tacoma Area,"5.0 miles, roundtrip",500,1100,4.04,Old growth|Rivers|Wildlife|Waterfalls,"Three waterfalls, multiple viewing areas, and two different trailheads provide great choices for an excursion to Little Mashel Falls. The tallest waterfall plunges over 90 feet.",roundtrip,5,Puget Sound and Islands
Franklin Falls,Snoqualmie Region -- Snoqualmie Pass,"2.0 miles, roundtrip",400,2600,4.09,Dogs allowed on leash|Rivers|Good for kids|Waterfalls,"Hiking with kids, new to hiking, or just looking for an easy day hike with a spectacular endpoint? Look no further then Franklin Falls! At just 2 miles with 400 feet in elevation gain it is the perfect destination for any hiker looking for something easy and beautiful!",roundtrip,2,Snoqualmie Region
Foggy Dew Ridge,North Cascades,"12.0 miles, roundtrip",3040,7340,0.00,Wildflowers/Meadows|Mountain views|Wildlife|Ridges/passes|Dogs allowed on leash|Fall foliage,"Follow an irregularly maintained multi-use trail as it follows the forested ridge crest with periodic views across Foggy Dew Creek to the Sawtooth Range. When not recently maintained, this is a natural hiker-only trail due to downed logs, with many opportunities to see wildlife.",roundtrip,12,North Cascades
Weowna Park,Puget Sound and Islands -- Seattle-Tacoma Area,"3.5 miles, roundtrip",600,320,4.60,Dogs allowed on leash|Old growth|Good for kids|Wildlife|Fall foliage,"Hike an urban park near Bellevue through extensive old-growth forest (yes, really)! Marvel at the many large conifers and deciduous trees. View a small creek in a steep canyon. Listen for, and perhaps see, abundant bird life. And, in season, note a few wildflowers.",roundtrip,3.5,Puget Sound and Islands
Turtleback Mountain Preserve: Turtlehead Summit,Puget Sound and Islands -- San Juan Islands,"5.7 miles, roundtrip",1295,1025,5.00,Wildflowers/Meadows|Mountain views|Wildlife|Old growth|Summits|Good for kids|Dogs allowed on leash|Fall foliage|Coast,"Hike a short trail that leads to one of the best viewpoints in the San Juans, with views of other San Juan Islands and of Canada's Gulf Islands. In the distance, Vancouver Island and the Olympic mountains will be visible. Along the way, enjoy an exuberant display of mosses and, in season, wildflowers. Sightings of golden eagles, turkey vultures, and many other birds are likely.",roundtrip,5.7,Puget Sound and Islands
Tatoosh Lookout,South Cascades -- White Pass/Cowlitz River Valley,"10.4 miles, roundtrip",4100,6400,3.67,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes|Old growth|Summits,"The lookout is gone, but the stunning views remain. To the north is Mount Rainier with a turquoise tarn and rugged rock ridges in the foreground. A clear day reveals three other volcanos to the south and west.",roundtrip,10.4,South Cascades
Tatoosh Ridge,South Cascades -- White Pass/Cowlitz River Valley,"6.2 miles, roundtrip",2900,5775,3.73,Wildflowers/Meadows|Ridges/passes|Dogs allowed on leash|Mountain views|Old growth|Summits|Lakes,"Tatoosh Ridge offers numerous choices, all involving a steep approach. Contentedly amble through a steep slope of wildflowers, with occasional mountain views. Drop into a valley with a pair of alpine lakes, or climb to the site of a former lookout. If you like, do all of the above.",roundtrip,6.2,South Cascades
Tatoosh Lakes,South Cascades -- White Pass/Cowlitz River Valley,"6.6 miles, roundtrip",3400,5750,3.00,Wildflowers/Meadows|Mountain views|Dogs not allowed|Ridges/passes|Old growth|Lakes,"Tatoosh Lakes are not open to camping any more, but they are much easier to get to than they used to be, and still a good bet for solitude and the peaceful sounds of nature.",roundtrip,6.6,South Cascades
Talapus and Olallie Lakes,Snoqualmie Region -- Snoqualmie Pass,"6.2 miles, roundtrip",1220,3780,3.93,Mountain views|Wildlife|Dogs allowed on leash|Old growth|Good for kids|Lakes|Fall foliage,"With a moderate grade on a wide trail, the hike to Talapus Lake is the perfect introduction to the outdoors for hikers and beginning backpackers. Upon arrival at Talapus, break out lunch or pitch camp. Either way, you can cool off in the large lake. If you feel like pressing on, Ollalie Lake is just about a mile and a half up trail, where open campsites offer lakeside havens with calm waters and views of a beautiful lake basin.",roundtrip,6.2,Snoqualmie Region
Sultan River Canyon Trail,Central Cascades -- Stevens Pass - West,"4.0 miles, roundtrip",900,1700,3.50,Dogs allowed on leash|Rivers|Good for kids|Waterfalls,"If you don’t mind descending first, then ascending later, the Sultan River Canyon trail is a nice alternative for the shoulder season when snow is still too deep in the mountains. Drop to the sparkling Sultan River, then climb back up on nicely graded switchbacks in the shade.",roundtrip,4,Central Cascades
Skyline Lake Snowshoe,Central Cascades -- Stevens Pass - West,"3.0 miles, roundtrip",1100,5100,4.15,Mountain views|Dogs allowed on leash|Good for kids|Lakes|Ridges/passes,"Dramatic mounds of snow, a frozen lake and sweeping views into the Alpine Lakes and Glacier Peak Wildernesses await snowshoers at Skyline Lake. Easily accessed from the Stevens Pass ski area, this steep and rewarding ridge walk is a classic on a sunny day.",roundtrip,3,Central Cascades
Silent Swamp Loop,Issaquah Alps -- Tiger Mountain,"8.8 miles, roundtrip",600,1780,3.12,Wildflowers/Meadows|Mountain views|Wildlife|Good for kids|Fall foliage,"Hike a restored trail in the southeast corner of the Tigers, through an area that is very green, with impressive moss cover and with many huge, decaying stumps remaining from logging a century ago.",roundtrip,8.8,Issaquah Alps
Sharpe Park - Sares Head,Puget Sound and Islands -- Bellingham Area,"2.1 miles, roundtrip",440,490,4.29,Wildflowers/Meadows|Mountain views|Wildlife|Dogs allowed on leash|Summits|Good for kids|Lakes|Fall foliage|Coast,"This hike just south of Anacortes offers superb views of the ocean and islands from a pair of high vantage points, and it has some fine trails through mixed forest along the way.",roundtrip,2.1,Puget Sound and Islands
Sharpe Park - Montgomery - Duban Headlands,Puget Sound and Islands -- Bellingham Area,"1.9 miles, roundtrip",425,370,3.60,Wildflowers/Meadows|Mountain views|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage|Coast,"Follow well-signed but sometimes rough trails to a great viewpoint near the water's edge at Porpoise Point. Enjoy views of distant islands, and on a clear day of the distant Olympic Mountains. Sightings of seals, eagles, waterfowl, and sometimes otters are likely.",roundtrip,1.9,Puget Sound and Islands
Fort Columbia State Park - Scarborough Hill,Southwest Washington -- Long Beach Area,"2.8 miles, roundtrip",630,767,2.75,Mountain views|Old growth|Dogs allowed on leash|Rivers,"Climb to the top of a low peak at on the Washington side of the Columbia River, then visit an historic fort, complete with gun battery and old buildings available to rent.",roundtrip,2.8,Southwest Washington
Poe Mountain via Little Wenatchee Trailhead,Central Cascades -- Stevens Pass - East,"6.0 miles, roundtrip",3000,6015,0.00,Mountain views|Dogs allowed on leash|Summits|Established campsites|Ridges/passes,"Three thousand feet in three miles make the Little Wenatchee a substantial albeit relatively short hike for exercise provided. The trail was the primary supply route to the old Poe Mountain lookout, and like many lookout access trails wastes no time in getting to the top. But it is well built, switchbacking up the hill. The first two-thirds of the hike are in light tree cover, so the views come as a surprise when you get to them.",roundtrip,6,Central Cascades
Pioneer Park - Mercer Island,Puget Sound and Islands -- Seattle-Tacoma Area,"1.25 miles, roundtrip",200,300,4.00,Wildflowers/Meadows|Wildlife|Old growth|Good for kids|Dogs allowed on leash|Fall foliage,"This Mercer Island park offers a dense network of forest trails with tall trees and a lot of moss, ferns and some seasonal wildflowers. All the trails are open to hikers and bicyclists; some also are designated for use by equestrians.",roundtrip,1.25,Puget Sound and Islands
Nason Ridge Snowshoe,Central Cascades -- Leavenworth Area,"3.6 miles, roundtrip",750,2720,3.00,Mountain views|Dogs allowed on leash|Good for kids,"A number of moderate snowshoe trails lie around the Lake Wenatchee area, but with a big, beautiful Ponderosa pine tree and views of the surrounding mountains, Nason Ridge gives you the best bang for your buck.",roundtrip,3.6,Central Cascades
Mirror and Cottonwood Lakes,Snoqualmie Region -- Snoqualmie Pass,"2.2 miles, roundtrip",870,4200,4.21,Wildflowers/Meadows|Dogs allowed on leash|Established campsites|Good for kids|Lakes|Fall foliage,"Nestled in a quiet basin only a stone’s throw from Snoqualmie Pass, pristine Mirror Lake is a destination to be enjoyed by the whole family. Rarely can you find such lovely sites with so little effort, but here, a short trek will take you through forests, across delicate streams, and past brightly colored wildflowers. Humming with butterflies, birds, bees, and babbling streams, this trail is not to be missed.",roundtrip,2.2,Snoqualmie Region
Marymere Falls,Olympic Peninsula -- Northern Coast,"1.8 miles, roundtrip",500,1100,3.97,Old growth|Rivers|Good for kids|Dogs not allowed|Waterfalls,Walk among old-growth giants as you travel to one of Olympic National Park's best-loved waterfalls.,roundtrip,1.8,Olympic Peninsula
Tieton River Nature Trail,Central Washington -- Yakima,"6.75 miles, roundtrip",300,600,3.60,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Rivers,"This short hike is an excellent option during a visit to the Naches area in the spring and summertime. You'll enjoy a ramble along a river, impressive geologic formations, and relative solitude, though the area is open to mountain bikers and popular with rock climbers and birders.",roundtrip,6.75,Central Washington
Crescent Lake,Central Cascades -- Stevens Pass - East,"12.0 miles, roundtrip",3732,5489,2.67,Mountain views|Dogs allowed on leash|Rivers|Lakes|Ridges/passes,Save yourself the sweat of a summit attempt and simply bask at the cool shores of this delightful little lake.,roundtrip,12,Central Cascades
Council Bluff,South Cascades -- Mount Adams Area,"3.2 miles, roundtrip",950,5180,2.83,Mountain views|Summits|Good for kids|Lakes,"From its rocky and rutted beginnings, to the short last push to the top of a former fire lookout site, this trail boasts big rewards for very little effort. The west slope of Mount Adams is right there behind you as you head to the top of Council Bluff to face the mountain in full.",roundtrip,3.2,South Cascades
Cedar Flats Nature Trail,Southwest Washington -- Lewis River Region,"1.1 miles, roundtrip",67,1380,2.50,Old growth|Good for kids|Wildlife,"The Cedar Flats Nature trail is an old growth mixed forest of cedar, Douglas fir, and hemlock. It's a peaceful stroll through deep, quiet forest, perfect for children and grown ups alike.",roundtrip,1.1,Southwest Washington
Cedar Butte,Snoqualmie Region -- North Bend Area,"3.5 miles, roundtrip",900,1880,3.33,Mountain views|Dogs allowed on leash|Summits|Good for kids|Ridges/passes,"Take a short hike up a forested butte near Rattlesnake Lake, just 1.75 miles each way with 900 feet of elevation gain. Reach a summit with views toward the north, from Mount Si to Mailbox Peak, and several other peaks in between. Some hikers judge Cedar Butte to be a better viewpoint than the much-visited West Tiger 3 summit, and it requires less effort and has smaller crowds, so when you are ready for a change of scene check it out.",roundtrip,3.5,Snoqualmie Region
Shoreview and Boeing Creek Parks,Puget Sound and Islands -- Seattle-Tacoma Area,1.9 miles of trails,280,440,3.00,Wildflowers/Meadows|Mountain views|Wildlife|Dogs allowed on leash|Old growth|Good for kids|Lakes|Fall foliage,"This pair of back-to-back urban parks just west of Shoreline Community College offers some very tall trees, small creeks, and a network of (mostly) good trails with a few ups and downs. Wildflowers, ferns, moss, birds: they are all here.",trails,1.9,Puget Sound and Islands
Beckler Peak,Central Cascades -- Stevens Pass - West,"7.6 miles, roundtrip",2240,5026,4.52,Mountain views|Wildlife|Old growth|Summits|Good for kids|Dogs allowed on leash|Fall foliage,"Hike a re-built trail adjacent to the Wild Sky Wilderness. The Beckler Peak trail opened in September of 2011, and with it, the Jennifer Dunn trailhead. The trail takes you through an old-growth forest to summit views of Glacier Peak, Baring, Index, the Monte Cristo Range, and Evergreen Mountain. It's easy to get to and provides great rewards for your effort. The trail has a gentle grade, it is well built, and suitable for kids. Be sure to take water with you, because there is no reliable water along the trail.",roundtrip,7.6,Central Cascades
Artist Point Snowshoe,North Cascades -- Mount Baker Area,"4.0 miles, roundtrip",1000,5100,4.42,Mountain views|Dogs allowed on leash|Good for kids|Ridges/passes,"Artist Point is the top competitor for best viewpoint in the state. The beautifully shaped Mount Shuksan is the star of the area, with a gorgeous summit pyramid and several impressive glaciers. This relatively easy snowshoe is an excellent winter destination with a virtual guarantee of good snow coverage.",roundtrip,4,North Cascades
Heybrook Ridge,Central Cascades -- Stevens Pass - West,"3.3 miles, roundtrip",775,1327,4.16,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Waterfalls|Good for kids|Ridges/passes|Fall foliage,"The Leovy Trail, a testament to community land conservation, is a moderate ascent through second-growth Cascade rainforest to the summit of Heybrook Ridge. At the top, take in stunning views of Mount Index, Bridal Veil Falls, and the Skykomish Valley.",roundtrip,3.3,Central Cascades
Iron Bear - Teanaway Ridge,Central Cascades -- Blewett Pass,"6.5 miles, roundtrip",1900,5489,4.06,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes,"In spring and early summer, the flowers are so profuse and beautiful that you would think that a gardener had planted them. And because this area is usually clear of snow long before many others in the region, hikers can attain Iron Bear Pass, the Teanaway Ridge and views of the Stuart Range and Mount Rainier while much of the Cascade Range is still snowed in.",roundtrip,6.5,Central Cascades
Goat Lake,North Cascades -- Mountain Loop Highway,"10.4 miles, roundtrip",1400,3161,4.21,Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Good for kids|Lakes|Rivers,"A nice hike with plenty of variety. Beautiful forest, a rushing creek, waterfalls of all shapes and sizes, history, and of course a large blue-green lake surrounded by snowy peaks. At 10.4 miles, it can be either a day-hike or a quick early season overnight. You won’t be alone, though – this is a popular trail with both hikers and backpackers.",roundtrip,10.4,North Cascades
Lime Kiln Trail,North Cascades -- Mountain Loop Highway,"7.0 miles, roundtrip",625,750,3.62,Old growth|Good for kids|Dogs allowed on leash|Fall foliage|Rivers,"Here's an unusual hike through a very mossy forest and along a narrow river canyon, past sites that were important in local history. A railroad once ran along the canyon, passing through small communities. Logging was done in the area, and lime once was produced from limestone here, in a kiln that still stands. The railroad and communities are gone now, and much has disappeared over the past eighty years. But a few artifacts still remain and can be seen near the trail.",roundtrip,7,North Cascades
Lake Valhalla,Central Cascades -- Stevens Pass - East,"7.0 miles, roundtrip",1500,5050,4.35,Summits|Good for kids|Rivers|Fall foliage|Waterfalls,"Lake Valhalla is a gem, tucked under Lichtenberg Mountain and Mount McCausland on the PCT North of Stevens Pass. The lake is a great day hike in summer or fall and accessible by snowshoe in the winter. Wildflowers abound in early summer, berries in late summer and fall colors make vivid surroundings in autumn.",roundtrip,7,Central Cascades
Lake 22,North Cascades -- Mountain Loop Highway,"5.4 miles, roundtrip",1350,2400,4.26,Wildflowers/Meadows|Mountain views|Wildlife|Waterfalls|Dogs allowed on leash|Old growth|Good for kids|Lakes|Rivers,"The curiously-named Lake Twentytwo is the center of an oasis of alpine wetland nestled on the northern shoulder of Mount Pilchuck. The hike to the lake combines the best of mountain rainforests, old-growth, wetlands, and mountain views, yet it is readily accessible. In winter the route lends itself to snowshoeing.",roundtrip,5.4,North Cascades
Lake Whatcom Park - Chanterelle Trail,Puget Sound and Islands -- Bellingham Area,"4.8 miles, roundtrip",1000,1314,4.17,Mountain views|Dogs allowed on leash|Old growth|Summits|Good for kids|Fall foliage,Enjoy a steep trail to a summit east of Lake Whatcom with gorgeous views of Puget Sound and the surrounding mountains.,roundtrip,4.8,Puget Sound and Islands
Little Huckleberry Mountain,Southwest Washington -- Columbia River Gorge - WA,"5.0 miles, roundtrip",1800,4781,3.70,Mountain views|Wildlife|Summits|Fall foliage,"Climb to the top of Little Huckleberry Mountain, where you will be greeted with excellent views of Mount Adams and other Cascade peaks. Though steep at times, the summit and the huckleberries you’ll find along the way make this hike worthwhile.",roundtrip,5,Southwest Washington
